"year","variable","experiment","ensemble","model","units","value"
1981,"rh","historical","r16i1p1f2","CNRM-CM6-1","g yr-1",47817192661381464
1981,"rh","historical","r17i1p1f1","IPSL-CM6A-LR","g yr-1",42580715169495512
1981,"rh","historical","r17i1p1f1","NorCPM1","g yr-1",29097500124442328
1981,"rh","historical","r17i1p1f2","CNRM-CM6-1","g yr-1",47837456301670072
1981,"rh","historical","r18i1p1f1","IPSL-CM6A-LR","g yr-1",42824978750105392
1981,"rh","historical","r18i1p1f1","NorCPM1","g yr-1",29213016118294876
1981,"rh","historical","r18i1p1f2","CNRM-CM6-1","g yr-1",47510786371470936
1981,"rh","historical","r19i1p1f1","IPSL-CM6A-LR","g yr-1",43321639622157944
1981,"rh","historical","r19i1p1f1","NorCPM1","g yr-1",29064416186122956
1981,"rh","historical","r19i1p1f2","CNRM-CM6-1","g yr-1",47382703701494048
1981,"rh","historical","r1i1p1f1","ACCESS-ESM1-5","g yr-1",56948475813801824
1981,"rh","historical","r1i1p1f1","CESM2","g yr-1",37860365701351352
1981,"rh","historical","r1i1p1f1","CESM2-WACCM","g yr-1",39141895972259480
1981,"rh","historical","r1i1p1f1","IPSL-CM6A-LR","g yr-1",42858254410744056
1981,"rh","historical","r1i1p1f1","MPI-ESM-1-2-HAM","g yr-1",64095638792631248
1981,"rh","historical","r1i1p1f1","MPI-ESM1-2-LR","g yr-1",62969746215257120
1981,"rh","historical","r1i1p1f1","NorCPM1","g yr-1",29829301538576996
1981,"rh","historical","r1i1p1f1","NorESM2-LM","g yr-1",38078393900500592
1981,"rh","historical","r1i1p1f1","NorESM2-MM","g yr-1",37294225383391016
1981,"rh","historical","r1i1p1f1","SAM0-UNICON","g yr-1",42678483670543672
1981,"rh","historical","r1i1p1f2","CNRM-CM6-1","g yr-1",47755845210902832
1981,"rh","historical","r1i1p1f2","CNRM-CM6-1-HR","g yr-1",46127745115922536
1981,"rh","historical","r1i2p1f1","MRI-ESM2-0","g yr-1",50450123745132720
1981,"rh","historical","r20i1p1f1","IPSL-CM6A-LR","g yr-1",42637782661521592
1981,"rh","historical","r20i1p1f1","NorCPM1","g yr-1",29929453620621296
1981,"rh","historical","r20i1p1f2","CNRM-CM6-1","g yr-1",47375833694318496
1981,"rh","historical","r21i1p1f1","IPSL-CM6A-LR","g yr-1",42629102261802880
1981,"rh","historical","r21i1p1f1","NorCPM1","g yr-1",29193238343925404
1981,"rh","historical","r21i1p1f2","CNRM-CM6-1","g yr-1",46978177800053912
1981,"rh","historical","r22i1p1f1","IPSL-CM6A-LR","g yr-1",42863719345795336
