"variable","model","experiment","coords","value","units"
"rh","CESM2-WACCM","historical",20,3.37474758095988,"%"
"rh","CESM2-WACCM","historical",25,3.21586447075235,"%"
"rh","CESM2-WACCM","historical",30,4.70090997167945,"%"
"rh","CESM2-WACCM","historical",35,4.60955835652352,"%"
"rh","CESM2-WACCM","historical",40,4.65674451270389,"%"
"rh","CESM2-WACCM","historical",45,4.3379661664162,"%"
"rh","CESM2-WACCM","historical",50,5.55231814586007,"%"
"rh","CESM2-WACCM","historical",55,5.69873418792955,"%"
"rh","CESM2-WACCM","historical",60,3.91073145343169,"%"
"rh","CESM2-WACCM","historical",65,2.71003358660905,"%"
"rh","CESM2-WACCM","historical",70,0.400814184529757,"%"
"rh","CESM2-WACCM","historical",75,0.00261715027726968,"%"
"rh","CESM2-WACCM","historical",80,0.000610379619146207,"%"
"rh","CNRM-CM6-1","historical",-90,0,"%"
"rh","CNRM-CM6-1","historical",-85,0,"%"
"rh","CNRM-CM6-1","historical",-80,0,"%"
"rh","CNRM-CM6-1","historical",-75,0,"%"
"rh","CNRM-CM6-1","historical",-70,0,"%"
"rh","CNRM-CM6-1","historical",-65,0,"%"
"rh","CNRM-CM6-1","historical",-60,0.00724228501896354,"%"
"rh","CNRM-CM6-1","historical",-55,0.0506386169384963,"%"
"rh","CNRM-CM6-1","historical",-50,0.139811552065611,"%"
"rh","CNRM-CM6-1","historical",-45,0.289831439590953,"%"
"rh","CNRM-CM6-1","historical",-40,0.860245759695147,"%"
"rh","CNRM-CM6-1","historical",-35,2.18970384783113,"%"
"rh","CNRM-CM6-1","historical",-30,2.17920403368326,"%"
"rh","CNRM-CM6-1","historical",-25,4.05502770106358,"%"
"rh","CNRM-CM6-1","historical",-20,4.31625504956683,"%"
"rh","CNRM-CM6-1","historical",-15,7.52153939868453,"%"
"rh","CNRM-CM6-1","historical",-10,8.73490556890711,"%"
"rh","CNRM-CM6-1","historical",-5,15.2919378405724,"%"
"rh","CNRM-CM6-1","historical",0,12.4149569627956,"%"
"rh","CNRM-CM6-1","historical",5,7.42688243155787,"%"
"rh","CNRM-CM6-1","historical",10,6.10902439888189,"%"
"rh","CNRM-CM6-1","historical",15,3.34619071494591,"%"
"rh","CNRM-CM6-1","historical",20,4.88581530667183,"%"
"rh","CNRM-CM6-1","historical",25,2.8433155566056,"%"
"rh","CNRM-CM6-1","historical",30,3.42825395467088,"%"
"rh","CNRM-CM6-1","historical",35,3.08370442716486,"%"
"rh","CNRM-CM6-1","historical",45,3.40436593470846,"%"
"rh","CNRM-CM6-1","historical",50,2.37994958540575,"%"
"rh","CNRM-CM6-1","historical",55,2.39319474545153,"%"
"rh","CNRM-CM6-1","historical",60,1.44891626926424,"%"
"rh","CNRM-CM6-1","historical",65,1.06663386616008,"%"
"rh","CNRM-CM6-1","historical",70,0.126588802179078,"%"
"rh","CNRM-CM6-1","historical",75,0.00500278998230273,"%"
"rh","CNRM-CM6-1","historical",80,0.000861159936078421,"%"
"rh","CNRM-CM6-1","historical",-90,0,"%"
"rh","CNRM-CM6-1","historical",-85,0,"%"
